"","MEAN_ALL","MEAN_0","MEAN_1","MEAN_2","SUM_ALL","SUM_0","SUM_1","SUM_2","VAR_ALL","VAR_0","VAR_1","VAR_2","NTP_0","NTP_1","NTP_2","EVERTT.TMP","EVERTT.HUMIDITY","EVERTT.VIS","SEATTLE.TMP","SEATTLE.HUMIDITY","SEATTLE.VIS","RICHLAND.TMP","RICHLAND.HUMIDITY","RICHLAND.VIS","YAKIMA.TMP","YAKIMA.HUMIDITY","YAKIMA.VIS"
"19/04/2020",0.0409370353103404,0.152933789877661,0.0165973855995325,0.0137427589948112,9.17974804805791,6.42321917486178,1.32025447587616,1.43627439731998,0.0234197273179051,0.110739250865231,0.000152599933133869,0.000106715297124243,42,79.4285714285714,103.857142857143,59.8742857142857,2.87034722660971,16093,1831.82,100,14790.2857142857,63.2685714285714,2.97845662366437,16046.5,66.2642857142857,0.089472591996316,16046.5
"26/04/2020",0.0445923701568052,0.157522412028075,0.01438609731646,0.0124034482728587,8.75057904881292,6.61594130517915,1.05219376180321,1.08244398183056,0.025899511821627,0.105584620068604,0.000139165240964189,9.53658581052595e-05,42,72.4285714285714,85.7142857142857,55.8114285714286,21.5026514895619,15633.2857142857,1831.82,100,13908.9523809524,59.5168571428571,17.4074285741671,14859.3571428571,68.9257142857143,1.14814922558825,16046.5
"03/05/2020",0.0434817576973503,0.154427468795313,0.0157270580095122,0.0122185231718727,8.67683601364427,6.48595368940317,1.1451497771112,1.0457325471299,0.0255200816204101,0.107007701290971,0.000149600342305104,9.80939678118077e-05,42,73,85.4285714285714,56.1457142857143,20.970959243756,16093,818.694285714286,61.432203636404,15250.0476190476,60.1442857142857,11.9334528452502,16046.5,67.5628571428571,3.64359385137992,15818.8571428571
"10/05/2020",0.0392518045404198,0.149600063337387,0.0163078509091816,0.0127287481876998,8.94613352368054,6.28320266017025,1.32998947479895,1.33294138871133,0.0221174362826003,0.106629238908049,0.000154390953865338,9.94585312382184e-05,42,81.4285714285714,105.571428571429,63.7057142857143,5.54527835651267,15863.1428571429,66.9714285714286,9.07873720659567,15479.9523809524,68.1414285714286,2.40416384993931,16046.5,70.07,0.0860043089461198,16046.5
"17/05/2020",0.0457575428230603,0.163778559596208,0.0167556919007286,0.0122638107471536,9.29909393084901,6.87869950304074,1.33821512891778,1.08217929889049,0.0266212701752015,0.111203889250219,0.000162136452082067,9.60369203042662e-05,42,78.5714285714286,86.8571428571429,63.3585714285714,10.3439731087299,15863.1428571429,63.5428571428571,32.2696741703256,15173.4285714286,65.5828571428572,12.6446717387201,16046.5,70.52,1.05881353894916,16046.5
"24/05/2020",0.0503693995777337,0.169925508465535,0.0148688326949092,0.0130349905661934,9.10012511785941,7.13687135555249,1.01261021436325,0.950643547943659,0.0302726943491483,0.112908335396604,0.000133559142647056,0.000106340474195509,42,67,73.5714285714286,58.5885714285714,19.4140207834694,14368.7142857143,61.4857142857143,11.8511490215041,20088.5238095238,61.1857142857143,13.1714329723149,16046.5,65.0171428571429,5.13331761062354,16046.5
"31/05/2020",0.0441520266990484,0.159768589666164,0.0157906459722504,0.0103673400319737,8.79786409031866,6.71028076597889,1.15787637140602,0.929706952933755,0.025745001607054,0.10620461244538,0.000146680335782321,6.36600160382368e-05,42,72.7142857142857,87.8571428571429,61.3914285714286,28.746635143237,12788.2142857143,68.2571428571429,27.0066366971981,14445.380952381,68.1157142857143,20.3032123856959,14215.3095238095,82.3485714285714,0.897723902559418,16039.8571428571
"07/06/2020",0.0453906168458716,0.155094256115757,0.0162639903183931,0.00984989348275714,8.43439022070795,6.51395875686181,1.16956417581865,0.750867288027491,0.0267268984091594,0.104347990718548,0.00016395441138447,7.08060127536069e-05,42,72.8571428571429,74.5714285714286,59.9,14.9267967583902,16016.380952381,63.7142857142857,9.21768704980162,16016.380952381,63.41,8.10853087435939,16046.5,74.9557142857143,0.31234845478072,16046.5
"14/06/2020",0.0513906435037098,0.164532167100519,0.0143327103064582,0.0107751903764431,8.53422477063058,6.91035101822178,0.880147825660449,0.743725926748343,0.0302844675135704,0.103389584655338,0.000127112954837736,6.85260780368151e-05,42,61,66,61.5457142857143,21.1905666205668,16093,62.1714285714286,41.1016157698125,15786.5238095238,62.9792857142857,23.789424503487,15058.7857142857,71.6514285714286,1.46647972127204,16046.5
"21/06/2020",0.043841289243263,0.160809763357182,0.0148663542233814,0.0115881286141654,8.89932170902777,6.75401006100167,1.10925584100187,1.03605580702424,0.0258909036575232,0.108753557919174,0.000122438045820026,8.28039585095818e-05,42,73.4285714285714,89,64.7342857142857,12.1149977667787,16093,69.8,10.8097631480515,16093,69.6971428571429,9.29729324819397,15701.6428571429,75.9457142857143,4.22526020201936,16046.5
